sample_index,y_true,p_fake,y_pred,correct
0,0,0.0,0,True
1,0,0.0,0,True
2,0,0.0,0,True
3,0,0.0,0,True
4,0,0.0,0,True
5,0,0.0,0,True
6,0,0.0,0,True
7,0,0.0,0,True
8,0,0.0,0,True
9,0,0.0,0,True
10,0,0.0,0,True
11,0,0.0,0,True
12,0,0.0,0,True
13,0,0.0,0,True
14,0,0.0,0,True
15,0,0.0,0,True
16,0,0.0,0,True
17,0,0.0,0,True
18,0,0.0,0,True
19,0,0.0,0,True
20,0,0.0,0,True
21,0,0.0,0,True
22,0,0.0,0,True
23,0,0.0,0,True
24,0,0.0,0,True
25,0,0.0,0,True
26,0,0.0,0,True
27,0,0.0,0,True
28,0,0.0,0,True
29,0,0.0,0,True
30,0,0.0,0,True
31,0,0.0,0,True
32,0,0.0,0,True
33,0,0.0,0,True
34,0,0.0,0,True
35,0,0.0,0,True
36,0,0.0,0,True
37,0,0.0,0,True
38,0,0.0,0,True
39,0,0.0,0,True
40,0,0.0,0,True
41,0,0.0,0,True
42,0,0.0,0,True
43,0,9e-06,0,True
44,0,0.0,0,True
45,0,0.0,0,True
46,0,0.0,0,True
47,0,0.0,0,True
48,0,0.0,0,True
49,0,0.0,0,True
50,0,0.0,0,True
51,0,0.0,0,True
52,0,0.0,0,True
53,0,0.0,0,True
54,0,0.0,0,True
55,0,0.0,0,True
56,0,0.0,0,True
57,0,0.0,0,True
58,0,0.0,0,True
59,0,0.0,0,True
60,0,0.0,0,True
61,0,0.0,0,True
62,0,0.0,0,True
63,0,0.0,0,True
64,0,0.0,0,True
65,0,0.0,0,True
66,0,0.0,0,True
67,0,0.0,0,True
68,0,0.0,0,True
69,0,0.0,0,True
70,0,0.0,0,True
71,0,0.0,0,True
72,0,0.0,0,True
73,0,0.0,0,True
74,0,0.0,0,True
75,0,0.0,0,True
76,0,0.0,0,True
77,0,0.0,0,True
78,0,0.0,0,True
79,0,0.0,0,True
80,0,0.0,0,True
81,0,0.0,0,True
82,0,0.0,0,True
83,0,0.0,0,True
84,0,0.0,0,True
85,0,0.0,0,True
86,0,0.0,0,True
87,0,0.0,0,True
88,0,0.0,0,True
89,0,0.0,0,True
90,0,0.0,0,True
91,0,0.0,0,True
92,0,0.0,0,True
93,0,0.0,0,True
94,0,1e-06,0,True
95,0,0.0,0,True
96,0,0.0,0,True
97,0,0.0,0,True
98,0,0.0,0,True
99,0,0.0,0,True
100,0,0.0,0,True
101,0,0.0,0,True
102,0,0.0,0,True
103,0,0.0,0,True
